Task_Type,Current_Status,Business_Impact,Days_to_Deadline,Deadline_Class
Business Continuity Plan (BCP),Completed,Low,13,Medium
Reporting and Analytics,In Progress,Medium,16,Medium
Project Closure Report,In Progress,Low,15,Medium
Finalization and Integration,In Progress,Low,9,Low
User Interface and User Experience (UI/UX),To Do,Medium,13,Medium
Data Lake & Data Warehouse Operation,To Do,Medium,13,Medium
Office Renovation,To Do,High,30,High
DevOps,In Progress,High,16,Medium
Contract Documentation,Completed,Medium,14,Medium
Office Renovation,To Do,Medium,16,Medium
User Authentication and Access Control,To Do,Low,13,Medium
Project Management,Completed,High,2,Low
Portal Learning Management System (LMS),Completed,High,18,Medium
Human Resource Management (HRM),To Do,Low,24,High
Management Plans,To Do,High,24,High
Office Renovation,Completed,Medium,25,High
Data Services & Management,In Progress,Low,6,Low
Project Management Information System (PMIS),Completed,High,2,Low
Monitoring & Control Reports,Completed,Medium,7,Low
Training Management,To Do,Medium,23,High
Portal,In Progress,Medium,3,Low
Notification System,To Do,High,7,Low
Data Services & Management,In Progress,Low,21,High
Project Closure Report,Completed,Low,6,Low
Data Management and Storage,To Do,Low,4,Low
Finalization and Integration,In Progress,Medium,12,Medium
User Authentication and Access Control,In Progress,Medium,20,High
Project Management,Completed,Medium,14,Medium
Data Lake & Data Warehouse Operation,In Progress,High,5,Low
Business Continuity Plan (BCP),In Progress,High,20,High
Workflow Management,To Do,High,25,High
DevOps,To Do,Low,18,Medium
Training Management,In Progress,Low,5,Low
Project Closure Report,Completed,Low,12,Medium
User Interface and User Experience (UI/UX),In Progress,Medium,4,Low
Change Management,To Do,Medium,2,Low
Reporting and Analytics,To Do,Low,20,High
Management Plans,In Progress,Low,4,Low
Contract Documentation,To Do,Medium,17,Medium
Change Management,In Progress,Low,30,High
Payment Gateway Integration,To Do,High,26,High
Change Management,In Progress,Low,20,High
Human Resource Management (HRM),Completed,Medium,22,High
Audit and Compliance,Completed,Low,2,Low
Training Management,To Do,High,19,Medium
Project Closure Report,Completed,Low,11,Medium
Contract Documentation,Completed,Low,5,Low
DevOps,Completed,Low,3,Low
Business Continuity Plan (BCP),In Progress,Low,1,Low
Transfer of Knowledge (TOK),In Progress,High,25,High
Portal Learning Management System (LMS),To Do,Low,23,High
Office Renovation,To Do,High,21,High
Finalization and Integration,Completed,Low,23,High
Inventory Management,In Progress,High,6,Low
Portal,Completed,High,4,Low
Inventory Management,To Do,Low,23,High
Workflow Management,In Progress,High,2,Low
Portal,To Do,Medium,11,Medium
Notification System,Completed,High,6,Low
Payment Gateway Integration,To Do,Low,28,High
Office Renovation,Completed,Medium,17,Medium
Communication and Collaboration Tools,Completed,Low,29,High
Business Continuity Plan (BCP),Completed,Medium,5,Low
Enterprise Architecture (EA),In Progress,High,23,High
Data Management and Storage,Completed,High,22,High
Project Closure Report,To Do,Low,30,High
Customer Relationship Management (CRM),To Do,Low,18,Medium
Data Services & Management,To Do,Low,2,Low
Portal Learning Management System (LMS),To Do,Medium,10,Medium
Transfer of Technology (TOT),Completed,High,3,Low
Monitoring & Control Reports,In Progress,Low,26,High
Contract Documentation,In Progress,High,28,High
User Interface and User Experience (UI/UX),In Progress,Low,3,Low
Audit and Compliance,Completed,High,11,Medium
Notification System,Completed,Medium,8,Low
Data Lake & Data Warehouse Operation,To Do,Medium,28,High
Portal,In Progress,High,6,Low
Finalization and Integration,To Do,High,28,High
Data Lake & Data Warehouse Operation,To Do,Low,20,High
Finalization and Integration,To Do,Low,12,Medium
Data Services & Management,In Progress,Medium,25,High
Management Plans,In Progress,Medium,22,High
Finalization and Integration,In Progress,Medium,28,High
Data Services & Management,Completed,High,12,Medium
Monitoring & Control Reports,Completed,High,23,High
Audit and Compliance,To Do,Medium,29,High
User Authentication and Access Control,Completed,High,11,Medium
Office Renovation,To Do,High,22,High
User Interface and User Experience (UI/UX),Completed,Low,7,Low
User Authentication and Access Control,In Progress,Medium,11,Medium
Enterprise Architecture (EA),To Do,High,12,Medium
Enterprise Architecture (EA),Completed,High,7,Low
Workflow Management,To Do,High,5,Low
Communication and Collaboration Tools,Completed,Low,19,Medium
Business Continuity Plan (BCP),Completed,Low,29,High
Business Continuity Plan (BCP),Completed,Medium,13,Medium
Office Renovation,Completed,High,19,Medium
Transfer of Knowledge (TOK),To Do,High,12,Medium
Communication and Collaboration Tools,To Do,High,5,Low
Portal Learning Management System (LMS),To Do,Medium,24,High
Notification System,To Do,High,11,Medium
Workflow Management,To Do,Medium,27,High
User Authentication and Access Control,Completed,Medium,8,Low
Portal Learning Management System (LMS),Completed,Low,1,Low
Notification System,Completed,Low,15,Medium
Portal,To Do,High,24,High
Office Renovation,To Do,High,9,Low
Project Management,To Do,High,2,Low
Finalization and Integration,To Do,High,12,Medium
Change Management,In Progress,Low,10,Medium
Inventory Management,Completed,Low,16,Medium
Enterprise Architecture (EA),Completed,Medium,26,High
Transfer of Knowledge (TOK),To Do,Medium,1,Low
Customer Relationship Management (CRM),In Progress,Low,4,Low
Business Continuity Plan (BCP),Completed,High,29,High
Contract Documentation,Completed,Low,30,High
Data Lake & Data Warehouse Operation,Completed,High,26,High
Portal,In Progress,Medium,11,Medium
Monitoring & Control Reports,Completed,Medium,8,Low
Payment Gateway Integration,In Progress,Medium,7,Low
Training Management,Completed,High,7,Low
Portal,To Do,High,27,High
User Interface and User Experience (UI/UX),In Progress,Medium,21,High
Project Closure Report,Completed,Medium,25,High
Audit and Compliance,Completed,Low,14,Medium
Notification System,To Do,Low,6,Low
Inventory Management,Completed,High,11,Medium
Notification System,Completed,Medium,9,Low
Notification System,Completed,Low,3,Low
Data Lake & Data Warehouse Operation,In Progress,Medium,21,High
Portal,In Progress,High,21,High
Portal Learning Management System (LMS),To Do,Low,12,Medium
Enterprise Architecture (EA),To Do,Low,7,Low
Project Management,To Do,Low,18,Medium
Enterprise Architecture (EA),To Do,High,14,Medium
Data Services & Management,In Progress,High,21,High
User Interface and User Experience (UI/UX),To Do,Low,22,High
Data Services & Management,Completed,High,6,Low
Monitoring & Control Reports,In Progress,Low,15,Medium
Monitoring & Control Reports,Completed,High,5,Low
User Interface and User Experience (UI/UX),Completed,High,5,Low
Enterprise Architecture (EA),In Progress,Medium,27,High
Data Services & Management,Completed,Low,17,Medium
Project Management,Completed,Low,5,Low
Management Plans,In Progress,Low,15,Medium
Business Continuity Plan (BCP),Completed,Medium,13,Medium
Communication and Collaboration Tools,In Progress,Medium,1,Low
Communication and Collaboration Tools,In Progress,High,7,Low
Change Management,Completed,Low,5,Low
Human Resource Management (HRM),In Progress,Medium,25,High
Human Resource Management (HRM),Completed,Low,14,Medium
Data Lake & Data Warehouse Operation,In Progress,High,29,High
Communication and Collaboration Tools,Completed,Low,11,Medium
Workflow Management,Completed,Medium,30,High
Business Continuity Plan (BCP),In Progress,Low,8,Low
Certificate of Acceptance (CoA),Completed,High,25,High
Project Management,To Do,Low,21,High
Audit and Compliance,To Do,Medium,5,Low
Customer Relationship Management (CRM),Completed,Low,18,Medium
Audit and Compliance,Completed,High,11,Medium
Project Closure Report,To Do,Low,7,Low
User Authentication and Access Control,To Do,High,8,Low
User Interface and User Experience (UI/UX),To Do,Low,5,Low
Business Continuity Plan (BCP),To Do,Low,6,Low
Transfer of Technology (TOT),To Do,High,28,High
DevOps,To Do,High,13,Medium
DevOps,In Progress,Low,16,Medium
Communication and Collaboration Tools,In Progress,Medium,13,Medium
Training Management,In Progress,Low,4,Low
Audit and Compliance,To Do,Low,4,Low
Finalization and Integration,Completed,Medium,13,Medium
Contract Documentation,To Do,Medium,15,Medium
Change Management,Completed,High,23,High
Monitoring & Control Reports,To Do,Medium,11,Medium
Project Closure Report,Completed,High,2,Low
Management Plans,Completed,Medium,14,Medium
Office Renovation,Completed,High,4,Low
Certificate of Acceptance (CoA),To Do,Medium,26,High
Project Management,Completed,Low,19,Medium
Reporting and Analytics,In Progress,Low,27,High
Training Management,To Do,Low,17,Medium
Monitoring & Control Reports,To Do,Medium,24,High
User Interface and User Experience (UI/UX),In Progress,Medium,7,Low
Transfer of Technology (TOT),In Progress,Low,16,Medium
Portal,Completed,Low,20,High
DevOps,In Progress,High,24,High
Certificate of Acceptance (CoA),To Do,High,28,High
User Authentication and Access Control,Completed,High,7,Low
Payment Gateway Integration,To Do,High,14,Medium
Project Management,To Do,Low,20,High
Monitoring & Control Reports,Completed,Low,5,Low
Human Resource Management (HRM),Completed,Medium,2,Low
User Interface and User Experience (UI/UX),In Progress,Low,5,Low
Training Management,To Do,Low,27,High
Monitoring & Control Reports,Completed,Low,7,Low
Reporting and Analytics,Completed,Medium,4,Low
Business Continuity Plan (BCP),Completed,High,12,Medium
Training Management,In Progress,High,14,Medium
Data Services & Management,Completed,High,6,Low
Portal,Completed,High,12,Medium
Portal Learning Management System (LMS),In Progress,Medium,7,Low
Management Plans,To Do,Low,4,Low
Business Continuity Plan (BCP),To Do,Medium,27,High
User Interface and User Experience (UI/UX),In Progress,Low,12,Medium
Data Lake & Data Warehouse Operation,To Do,Low,27,High
Certificate of Acceptance (CoA),To Do,Medium,24,High
Transfer of Technology (TOT),In Progress,Medium,24,High
Portal Learning Management System (LMS),Completed,High,21,High
Training Management,To Do,Low,7,Low
Enterprise Architecture (EA),In Progress,Medium,16,Medium
Portal Learning Management System (LMS),In Progress,Medium,4,Low
Portal,In Progress,High,6,Low
Training Management,Completed,Low,18,Medium
Portal,To Do,High,29,High
Payment Gateway Integration,To Do,High,10,Medium
Contract Documentation,To Do,High,7,Low
Audit and Compliance,To Do,High,14,Medium
Notification System,Completed,High,13,Medium
Project Management,To Do,Medium,29,High
Portal,In Progress,Medium,19,Medium
Project Management Information System (PMIS),In Progress,Low,4,Low
User Authentication and Access Control,To Do,Medium,3,Low
Project Management,To Do,Medium,23,High
Audit and Compliance,Completed,Low,6,Low
Certificate of Acceptance (CoA),Completed,Low,17,Medium
User Authentication and Access Control,In Progress,Low,14,Medium
Data Lake & Data Warehouse Operation,To Do,High,26,High
Business Continuity Plan (BCP),To Do,High,19,Medium
User Authentication and Access Control,To Do,Medium,18,Medium
Data Management and Storage,In Progress,Low,20,High
Data Management and Storage,To Do,Medium,19,Medium
Office Renovation,To Do,High,1,Low
Audit and Compliance,To Do,Low,2,Low
Data Management and Storage,In Progress,Medium,10,Medium
Training Management,Completed,Low,9,Low
Project Closure Report,To Do,Low,19,Medium
Certificate of Acceptance (CoA),To Do,Medium,8,Low
Contract Documentation,Completed,High,8,Low
Payment Gateway Integration,Completed,Low,1,Low
Training Management,In Progress,High,24,High
Portal,Completed,Medium,24,High
Monitoring & Control Reports,In Progress,Medium,22,High
Inventory Management,Completed,High,1,Low
Data Management and Storage,In Progress,High,11,Medium
Change Management,Completed,High,20,High
Notification System,To Do,Medium,25,High
Enterprise Architecture (EA),In Progress,Low,21,High
Project Management,In Progress,Low,1,Low
User Authentication and Access Control,Completed,Medium,9,Low
Portal Learning Management System (LMS),In Progress,Medium,24,High
User Authentication and Access Control,Completed,Medium,10,Medium
Contract Documentation,To Do,Medium,23,High
Notification System,In Progress,High,4,Low
Project Management Information System (PMIS),To Do,Medium,13,Medium
Change Management,Completed,Medium,30,High
Project Closure Report,In Progress,Low,4,Low
Finalization and Integration,To Do,High,21,High
User Authentication and Access Control,In Progress,Low,21,High
Portal,In Progress,High,11,Medium
Data Lake & Data Warehouse Operation,Completed,Medium,20,High
Customer Relationship Management (CRM),In Progress,Medium,3,Low
Management Plans,Completed,Low,3,Low
Contract Documentation,To Do,Medium,2,Low
Reporting and Analytics,In Progress,Low,29,High
User Interface and User Experience (UI/UX),Completed,Medium,7,Low
Project Management Information System (PMIS),Completed,Medium,16,Medium
Management Plans,Completed,Low,21,High
Portal,To Do,Low,17,Medium
Notification System,In Progress,Low,10,Medium
Project Management,Completed,Medium,21,High
Notification System,Completed,Medium,1,Low
Project Closure Report,In Progress,Medium,15,Medium
Inventory Management,Completed,Medium,19,Medium
Contract Documentation,In Progress,Medium,16,Medium
Finalization and Integration,Completed,High,25,High
Notification System,To Do,High,15,Medium
Transfer of Technology (TOT),To Do,Low,2,Low
Office Renovation,To Do,Medium,8,Low
Transfer of Knowledge (TOK),In Progress,Medium,14,Medium
Project Management Information System (PMIS),In Progress,Low,27,High
Project Management Information System (PMIS),In Progress,Medium,9,Low
Customer Relationship Management (CRM),In Progress,Low,27,High
Customer Relationship Management (CRM),In Progress,High,20,High
Project Closure Report,In Progress,High,11,Medium
Certificate of Acceptance (CoA),Completed,Medium,23,High
Monitoring & Control Reports,Completed,Medium,12,Medium
Audit and Compliance,In Progress,Low,22,High
Payment Gateway Integration,Completed,Low,25,High
Customer Relationship Management (CRM),Completed,Low,23,High
Project Management Information System (PMIS),Completed,Low,3,Low
Audit and Compliance,In Progress,Low,10,Medium
Training Management,In Progress,Medium,9,Low
Data Management and Storage,To Do,Low,27,High
Office Renovation,Completed,Medium,17,Medium
User Authentication and Access Control,In Progress,Medium,18,Medium
Data Services & Management,To Do,Medium,9,Low
Data Lake & Data Warehouse Operation,To Do,Low,6,Low
Workflow Management,To Do,High,12,Medium
Data Lake & Data Warehouse Operation,Completed,Medium,23,High
DevOps,To Do,Medium,16,Medium
User Interface and User Experience (UI/UX),To Do,Low,29,High
Payment Gateway Integration,Completed,High,28,High
Inventory Management,To Do,High,30,High
DevOps,To Do,Medium,5,Low
Transfer of Technology (TOT),In Progress,High,27,High
Data Lake & Data Warehouse Operation,In Progress,Low,19,Medium
Project Closure Report,To Do,Low,14,Medium
Training Management,In Progress,High,20,High
Portal,In Progress,Medium,30,High
Inventory Management,Completed,High,25,High
Enterprise Architecture (EA),Completed,Medium,26,High
Contract Documentation,To Do,Low,24,High
Notification System,Completed,Low,3,Low
Enterprise Architecture (EA),Completed,Medium,4,Low
Change Management,To Do,High,24,High
Business Continuity Plan (BCP),To Do,High,1,Low
Inventory Management,In Progress,Low,13,Medium
Audit and Compliance,To Do,Low,6,Low
User Authentication and Access Control,In Progress,Low,21,High
Payment Gateway Integration,In Progress,Low,17,Medium
Inventory Management,To Do,Low,15,Medium
Data Management and Storage,In Progress,High,23,High
User Interface and User Experience (UI/UX),In Progress,Medium,27,High
Customer Relationship Management (CRM),To Do,Medium,6,Low
Data Lake & Data Warehouse Operation,In Progress,High,22,High
Notification System,In Progress,High,13,Medium
Management Plans,In Progress,Low,26,High
Reporting and Analytics,Completed,Low,2,Low
Office Renovation,In Progress,Low,30,High
Human Resource Management (HRM),To Do,Low,20,High
Audit and Compliance,In Progress,Low,6,Low
Data Lake & Data Warehouse Operation,Completed,High,9,Low
Data Management and Storage,Completed,High,29,High
Audit and Compliance,Completed,High,30,High
Audit and Compliance,To Do,High,28,High
Office Renovation,Completed,Medium,7,Low
Audit and Compliance,In Progress,Medium,30,High
User Authentication and Access Control,Completed,Medium,15,Medium
Communication and Collaboration Tools,To Do,Medium,2,Low
Portal,To Do,Medium,6,Low
Project Management,In Progress,High,16,Medium
Data Services & Management,Completed,Low,23,High
Data Services & Management,Completed,High,4,Low
Project Management,In Progress,Medium,20,High
Portal Learning Management System (LMS),To Do,Medium,29,High
Certificate of Acceptance (CoA),Completed,Medium,30,High
Portal,In Progress,Medium,7,Low
Audit and Compliance,In Progress,High,22,High
Training Management,Completed,Medium,25,High
Portal Learning Management System (LMS),In Progress,High,7,Low
Monitoring & Control Reports,Completed,Medium,9,Low
Management Plans,In Progress,High,18,Medium
Project Closure Report,In Progress,Medium,24,High
Monitoring & Control Reports,To Do,Medium,14,Medium
Office Renovation,Completed,Medium,11,Medium
Management Plans,Completed,Low,21,High
Training Management,To Do,High,8,Low
Contract Documentation,Completed,Medium,16,Medium
DevOps,In Progress,Low,1,Low
Data Services & Management,Completed,Low,22,High
Project Closure Report,In Progress,Medium,27,High
Inventory Management,To Do,Medium,28,High
Monitoring & Control Reports,Completed,High,25,High
User Interface and User Experience (UI/UX),To Do,Medium,25,High
Workflow Management,To Do,Low,6,Low
Inventory Management,In Progress,Medium,17,Medium
Workflow Management,To Do,High,4,Low
Monitoring & Control Reports,In Progress,High,11,Medium
Reporting and Analytics,In Progress,High,29,High
DevOps,Completed,Low,12,Medium
Portal,Completed,High,24,High
Business Continuity Plan (BCP),To Do,High,26,High
User Interface and User Experience (UI/UX),To Do,High,22,High
Transfer of Technology (TOT),In Progress,Low,20,High
DevOps,Completed,High,15,Medium
Reporting and Analytics,In Progress,Medium,24,High
Payment Gateway Integration,Completed,Medium,24,High
Notification System,Completed,Medium,27,High
DevOps,To Do,Low,19,Medium
Audit and Compliance,Completed,High,5,Low
Contract Documentation,To Do,Medium,10,Medium
Workflow Management,To Do,Low,19,Medium
Management Plans,In Progress,High,10,Medium
Project Management,Completed,High,11,Medium
User Interface and User Experience (UI/UX),Completed,High,25,High
Project Closure Report,In Progress,High,14,Medium
Project Closure Report,In Progress,Medium,18,Medium
Reporting and Analytics,In Progress,Low,11,Medium
Customer Relationship Management (CRM),In Progress,Medium,28,High
Portal Learning Management System (LMS),Completed,High,19,Medium
Training Management,To Do,Low,7,Low
Communication and Collaboration Tools,In Progress,High,15,Medium
Data Lake & Data Warehouse Operation,Completed,High,17,Medium
Project Management,In Progress,Medium,3,Low
Project Closure Report,To Do,Medium,7,Low
Portal Learning Management System (LMS),Completed,Medium,19,Medium
Office Renovation,Completed,High,23,High
Portal Learning Management System (LMS),To Do,Low,20,High
Workflow Management,Completed,Low,12,Medium
Project Closure Report,To Do,High,11,Medium
Management Plans,To Do,Medium,6,Low
Training Management,To Do,Medium,18,Medium
Project Management Information System (PMIS),To Do,High,27,High
Human Resource Management (HRM),To Do,High,14,Medium
Human Resource Management (HRM),Completed,High,15,Medium
User Authentication and Access Control,To Do,Low,19,Medium
Communication and Collaboration Tools,To Do,High,7,Low
Project Closure Report,In Progress,High,6,Low
Certificate of Acceptance (CoA),To Do,High,24,High
Project Management,In Progress,Medium,24,High
Training Management,Completed,Low,19,Medium
User Authentication and Access Control,In Progress,Medium,18,Medium
Inventory Management,Completed,Low,24,High
Business Continuity Plan (BCP),Completed,High,27,High
Business Continuity Plan (BCP),To Do,Medium,11,Medium
Data Lake & Data Warehouse Operation,In Progress,High,24,High
Workflow Management,Completed,High,23,High
Human Resource Management (HRM),To Do,High,8,Low
Enterprise Architecture (EA),To Do,High,21,High
Certificate of Acceptance (CoA),To Do,Medium,16,Medium
Portal,In Progress,Medium,15,Medium
Finalization and Integration,To Do,Low,20,High
Certificate of Acceptance (CoA),In Progress,High,2,Low
Notification System,In Progress,Medium,13,Medium
User Authentication and Access Control,To Do,Low,21,High
Training Management,Completed,Low,18,Medium
DevOps,In Progress,Medium,17,Medium
Customer Relationship Management (CRM),In Progress,Low,2,Low
Reporting and Analytics,In Progress,Low,24,High
Portal,In Progress,Medium,9,Low
Payment Gateway Integration,To Do,Medium,8,Low
Payment Gateway Integration,In Progress,Low,26,High
Notification System,Completed,Medium,26,High
User Interface and User Experience (UI/UX),Completed,High,6,Low
Management Plans,To Do,Medium,8,Low
Transfer of Technology (TOT),Completed,Low,16,Medium
Change Management,Completed,Low,17,Medium
Data Services & Management,In Progress,High,19,Medium
Communication and Collaboration Tools,To Do,High,27,High
Payment Gateway Integration,Completed,Medium,10,Medium
Portal,In Progress,Low,7,Low
Workflow Management,To Do,Low,19,Medium
Management Plans,In Progress,Medium,29,High
Certificate of Acceptance (CoA),In Progress,Low,10,Medium
Management Plans,Completed,Low,8,Low
Transfer of Knowledge (TOK),In Progress,Medium,20,High
Project Management Information System (PMIS),Completed,Medium,11,Medium
Transfer of Knowledge (TOK),In Progress,Low,11,Medium
Contract Documentation,Completed,Medium,21,High
Data Lake & Data Warehouse Operation,In Progress,High,27,High
Finalization and Integration,Completed,Low,26,High
User Interface and User Experience (UI/UX),Completed,Low,22,High
User Interface and User Experience (UI/UX),To Do,High,7,Low
Project Management,In Progress,High,1,Low
Communication and Collaboration Tools,In Progress,Low,16,Medium
Data Management and Storage,In Progress,Low,1,Low
Finalization and Integration,To Do,High,8,Low
User Authentication and Access Control,Completed,Medium,18,Medium
Data Services & Management,Completed,High,8,Low
Data Lake & Data Warehouse Operation,To Do,Low,19,Medium
User Authentication and Access Control,To Do,Medium,28,High
Notification System,To Do,Medium,26,High
Contract Documentation,Completed,High,12,Medium
Payment Gateway Integration,To Do,Medium,19,Medium
Audit and Compliance,In Progress,High,26,High
Training Management,To Do,Medium,2,Low
Transfer of Technology (TOT),Completed,High,16,Medium
Inventory Management,In Progress,Low,26,High
Human Resource Management (HRM),Completed,Low,19,Medium
Management Plans,Completed,Medium,9,Low
Portal,In Progress,Low,11,Medium
Data Lake & Data Warehouse Operation,Completed,Low,20,High
Finalization and Integration,In Progress,High,9,Low
Workflow Management,Completed,High,28,High
Change Management,To Do,Low,7,Low
Project Management,To Do,High,21,High
Data Services & Management,To Do,Low,21,High
Certificate of Acceptance (CoA),Completed,Medium,9,Low
Workflow Management,In Progress,High,10,Medium
Transfer of Knowledge (TOK),Completed,Medium,6,Low
DevOps,To Do,High,28,High
Payment Gateway Integration,To Do,High,24,High
Portal,To Do,High,30,High
Transfer of Technology (TOT),Completed,Low,10,Medium
Reporting and Analytics,In Progress,High,27,High
Data Lake & Data Warehouse Operation,Completed,High,1,Low
Inventory Management,To Do,High,24,High
Portal Learning Management System (LMS),Completed,High,8,Low
User Authentication and Access Control,To Do,High,22,High
Audit and Compliance,To Do,Medium,10,Medium
Data Management and Storage,In Progress,High,25,High
Customer Relationship Management (CRM),Completed,Low,26,High
Transfer of Technology (TOT),Completed,Low,5,Low
Inventory Management,Completed,High,27,High
Customer Relationship Management (CRM),To Do,Medium,30,High
Transfer of Technology (TOT),In Progress,High,30,High
Portal,Completed,High,12,Medium
User Interface and User Experience (UI/UX),Completed,Medium,14,Medium
Workflow Management,In Progress,Medium,7,Low
Training Management,Completed,High,11,Medium
Data Services & Management,Completed,Medium,25,High
Transfer of Knowledge (TOK),In Progress,Low,9,Low
Office Renovation,To Do,Medium,7,Low
DevOps,Completed,Low,1,Low
Change Management,In Progress,Medium,2,Low
DevOps,Completed,Medium,12,Medium
Project Management,In Progress,Low,21,High
DevOps,Completed,Medium,24,High
User Interface and User Experience (UI/UX),To Do,Medium,25,High
Management Plans,To Do,High,28,High
Certificate of Acceptance (CoA),In Progress,Medium,25,High
Data Services & Management,In Progress,Medium,11,Medium
Transfer of Technology (TOT),To Do,Medium,8,Low
Project Management,To Do,High,8,Low
Management Plans,In Progress,High,19,Medium
Payment Gateway Integration,In Progress,Low,6,Low
Data Lake & Data Warehouse Operation,Completed,Low,3,Low
Data Lake & Data Warehouse Operation,Completed,Medium,29,High
Finalization and Integration,In Progress,High,3,Low
User Interface and User Experience (UI/UX),To Do,Low,17,Medium
User Interface and User Experience (UI/UX),Completed,Low,23,High
Change Management,To Do,Low,1,Low
Audit and Compliance,In Progress,Medium,15,Medium
Data Lake & Data Warehouse Operation,To Do,High,30,High
Notification System,In Progress,Low,21,High
Certificate of Acceptance (CoA),Completed,Low,29,High
Contract Documentation,In Progress,Low,20,High
Change Management,Completed,High,2,Low
Workflow Management,To Do,Low,21,High
Office Renovation,Completed,Medium,21,High
Human Resource Management (HRM),To Do,Low,10,Medium
Portal Learning Management System (LMS),Completed,Low,25,High
Project Management Information System (PMIS),In Progress,Medium,13,Medium
Transfer of Knowledge (TOK),In Progress,Low,28,High
Office Renovation,Completed,High,1,Low
Reporting and Analytics,To Do,Medium,27,High
Business Continuity Plan (BCP),To Do,Low,11,Medium
User Interface and User Experience (UI/UX),In Progress,High,12,Medium
DevOps,In Progress,High,22,High
Portal Learning Management System (LMS),Completed,High,23,High
Certificate of Acceptance (CoA),Completed,High,12,Medium
Data Lake & Data Warehouse Operation,Completed,Medium,26,High
Data Management and Storage,Completed,High,19,Medium
Certificate of Acceptance (CoA),To Do,Low,26,High
Transfer of Knowledge (TOK),Completed,High,24,High
Project Management,In Progress,High,24,High
Change Management,To Do,Low,26,High
Customer Relationship Management (CRM),To Do,Low,3,Low
Communication and Collaboration Tools,To Do,Low,26,High
User Interface and User Experience (UI/UX),Completed,Low,3,Low
Payment Gateway Integration,In Progress,Medium,25,High
Monitoring & Control Reports,Completed,Low,7,Low
Certificate of Acceptance (CoA),In Progress,High,13,Medium
Monitoring & Control Reports,To Do,Low,16,Medium
Enterprise Architecture (EA),In Progress,Low,17,Medium
Workflow Management,Completed,Medium,12,Medium
Customer Relationship Management (CRM),In Progress,Medium,9,Low
Audit and Compliance,To Do,Medium,20,High
Customer Relationship Management (CRM),To Do,High,12,Medium
Business Continuity Plan (BCP),Completed,Low,13,Medium
Human Resource Management (HRM),Completed,Medium,24,High
User Interface and User Experience (UI/UX),In Progress,Low,5,Low
Monitoring & Control Reports,To Do,Medium,23,High
Business Continuity Plan (BCP),In Progress,Low,7,Low
Project Management Information System (PMIS),In Progress,Low,15,Medium
Notification System,Completed,Low,5,Low
Human Resource Management (HRM),In Progress,Low,9,Low
Portal Learning Management System (LMS),Completed,Medium,25,High
Contract Documentation,In Progress,Low,5,Low
Notification System,Completed,Low,27,High
Data Management and Storage,Completed,High,13,Medium
Notification System,Completed,Medium,16,Medium
Notification System,Completed,Low,17,Medium
Portal Learning Management System (LMS),In Progress,Medium,21,High
Portal,Completed,Low,9,Low
Monitoring & Control Reports,To Do,Medium,6,Low
Certificate of Acceptance (CoA),In Progress,High,20,High
Portal,To Do,High,22,High
User Interface and User Experience (UI/UX),Completed,Medium,10,Medium
Data Lake & Data Warehouse Operation,Completed,High,21,High
Finalization and Integration,Completed,Medium,16,Medium
Audit and Compliance,To Do,Medium,21,High
Workflow Management,To Do,High,15,Medium
Workflow Management,Completed,Low,20,High
Project Management Information System (PMIS),In Progress,Low,14,Medium
User Authentication and Access Control,In Progress,Medium,24,High
Data Lake & Data Warehouse Operation,In Progress,High,28,High
Payment Gateway Integration,In Progress,Medium,11,Medium
Inventory Management,To Do,Medium,13,Medium
Audit and Compliance,In Progress,Low,5,Low
Enterprise Architecture (EA),To Do,High,19,Medium
Certificate of Acceptance (CoA),To Do,Medium,11,Medium
Reporting and Analytics,In Progress,High,26,High
DevOps,Completed,Medium,4,Low
Project Management Information System (PMIS),To Do,Low,26,High
Change Management,In Progress,Medium,17,Medium
Management Plans,Completed,High,4,Low
Project Closure Report,In Progress,Medium,22,High
Change Management,Completed,High,3,Low
User Authentication and Access Control,To Do,High,16,Medium
Portal,In Progress,Medium,24,High
Project Management,To Do,High,9,Low
Workflow Management,To Do,Low,30,High
User Authentication and Access Control,To Do,Low,25,High
Transfer of Knowledge (TOK),To Do,Medium,27,High
Office Renovation,To Do,Low,29,High
Portal,To Do,High,16,Medium
Portal Learning Management System (LMS),In Progress,High,3,Low
Customer Relationship Management (CRM),Completed,Medium,22,High
Management Plans,Completed,High,8,Low
Data Management and Storage,Completed,High,5,Low
Certificate of Acceptance (CoA),Completed,High,14,Medium
Training Management,To Do,Medium,21,High
Project Management Information System (PMIS),In Progress,High,30,High
Portal,Completed,Low,15,Medium
User Authentication and Access Control,In Progress,High,9,Low
Project Management,Completed,Medium,13,Medium
Portal,To Do,Low,19,Medium
DevOps,Completed,High,12,Medium
Audit and Compliance,In Progress,High,30,High
Contract Documentation,To Do,Low,9,Low
Office Renovation,To Do,High,23,High
Portal,In Progress,High,1,Low
DevOps,To Do,Medium,5,Low
DevOps,In Progress,Low,24,High
Transfer of Knowledge (TOK),In Progress,High,17,Medium
Inventory Management,In Progress,Medium,27,High
Notification System,In Progress,High,12,Medium
Training Management,Completed,High,9,Low
Data Services & Management,Completed,Medium,14,Medium
Data Services & Management,To Do,High,21,High
Certificate of Acceptance (CoA),In Progress,Low,1,Low
Monitoring & Control Reports,Completed,Medium,30,High
Management Plans,Completed,High,8,Low
Human Resource Management (HRM),Completed,High,27,High
