Task_Type,Current_Status,Business_Impact,Days_to_Deadline,Deadline_Class,Priority
Data Services & Management,In Progress,Medium,26,High,High
Communication and Collaboration Tools,Completed,Low,27,High,Medium
Data Management and Storage,To Do,Medium,18,Medium,Medium
User Interface and User Experience (UI/UX),To Do,Medium,15,Medium,Medium
Customer Relationship Management (CRM),In Progress,Medium,1,Low,Medium
Project Closure Report,To Do,High,11,Medium,Low
Finalization and Integration,Completed,Medium,24,High,Low
Communication and Collaboration Tools,To Do,High,18,Medium,Medium
Portal Learning Management System (LMS),To Do,Low,11,Medium,Medium
Data Services & Management,To Do,High,3,Low,Medium
User Authentication and Access Control,To Do,Low,16,Medium,Medium
Project Management,Completed,Low,25,High,Low
Enterprise Architecture (EA),To Do,Medium,14,Medium,Low
Project Management,Completed,Medium,30,High,Low
Data Lake & Data Warehouse Operation,Completed,Medium,13,Medium,Medium
Portal Learning Management System (LMS),To Do,High,12,Medium,Medium
Project Management,In Progress,Low,17,Medium,Medium
Project Management Information System (PMIS),To Do,Low,15,Medium,Medium
Project Management,Completed,Medium,29,High,Low
Finalization and Integration,Completed,Medium,17,Medium,Low
Payment Gateway Integration,In Progress,High,1,Low,Medium
DevOps,In Progress,Low,13,Medium,Medium
Change Management,To Do,High,1,Low,Low
DevOps,To Do,Low,24,High,Medium
Data Services & Management,Completed,Low,11,Medium,Low
Contract Documentation,In Progress,Medium,29,High,Medium
Change Management,Completed,Medium,29,High,Low
User Interface and User Experience (UI/UX),Completed,High,25,High,Medium
Data Services & Management,In Progress,Low,13,Medium,Medium
User Authentication and Access Control,To Do,High,1,Low,Medium
Workflow Management,To Do,Medium,12,Medium,Medium
Reporting and Analytics,To Do,Medium,28,High,Medium
Data Services & Management,To Do,High,14,Medium,Medium
Customer Relationship Management (CRM),To Do,High,22,High,High
Payment Gateway Integration,In Progress,Low,21,High,Medium
Transfer of Technology (TOT),To Do,Medium,3,Low,Low
Monitoring & Control Reports,In Progress,Low,8,Low,Medium
Payment Gateway Integration,Completed,Medium,16,Medium,Medium
Enterprise Architecture (EA),In Progress,Medium,28,High,Low
Project Management,In Progress,High,6,Low,Medium
Data Services & Management,Completed,Low,5,Low,Low
Portal,To Do,Low,28,High,Medium
Project Closure Report,In Progress,High,29,High,Medium
Monitoring & Control Reports,In Progress,Low,22,High,Medium
Data Services & Management,To Do,Medium,15,Medium,Medium
Inventory Management,To Do,Medium,5,Low,Medium
Project Management Information System (PMIS),Completed,Medium,29,High,Low
Data Management and Storage,Completed,High,19,Medium,Low
Inventory Management,To Do,Low,23,High,Medium
Project Management,In Progress,Low,18,Medium,Medium
User Authentication and Access Control,To Do,Medium,28,High,Medium
Project Management,In Progress,High,23,High,High
Business Continuity Plan (BCP),In Progress,Medium,6,Low,Low
Business Continuity Plan (BCP),In Progress,Low,14,Medium,Medium
Transfer of Technology (TOT),In Progress,Medium,24,High,Medium
Finalization and Integration,Completed,Low,1,Low,Low
Transfer of Knowledge (TOK),In Progress,Medium,22,High,Medium
Portal Learning Management System (LMS),In Progress,High,20,High,High
Notification System,In Progress,High,27,High,Low
Business Continuity Plan (BCP),Completed,Low,11,Medium,Low
Management Plans,In Progress,Low,5,Low,Low
Transfer of Knowledge (TOK),To Do,Medium,2,Low,Low
Project Management Information System (PMIS),In Progress,Low,29,High,Medium
Enterprise Architecture (EA),To Do,High,28,High,Medium
Management Plans,To Do,High,6,Low,Low
Project Closure Report,Completed,Medium,11,Medium,Low
Portal,To Do,High,15,Medium,Medium
Payment Gateway Integration,Completed,High,22,High,High
DevOps,To Do,Low,18,Medium,Medium
Portal,To Do,Medium,9,Low,Medium
Data Lake & Data Warehouse Operation,In Progress,Low,1,Low,Medium
Payment Gateway Integration,In Progress,Low,16,Medium,Medium
Portal,Completed,High,18,Medium,Low
Training Management,To Do,Medium,1,Low,Low
Reporting and Analytics,Completed,High,6,Low,Low
Notification System,To Do,Medium,25,High,Low
Portal Learning Management System (LMS),Completed,High,27,High,Medium
Human Resource Management (HRM),In Progress,Medium,3,Low,Medium
Data Lake & Data Warehouse Operation,In Progress,Low,9,Low,Medium
Finalization and Integration,To Do,Low,18,Medium,Medium
Inventory Management,To Do,High,11,Medium,Medium
Human Resource Management (HRM),In Progress,High,26,High,High
Enterprise Architecture (EA),To Do,Medium,17,Medium,Low
Audit and Compliance,To Do,Medium,14,Medium,Low
Project Management,In Progress,Low,1,Low,Low
Data Management and Storage,To Do,High,10,Medium,Medium
Monitoring & Control Reports,Completed,Low,16,Medium,High
Inventory Management,In Progress,Medium,7,Low,Medium
Workflow Management,To Do,High,15,Medium,Medium
Audit and Compliance,To Do,Low,3,Low,Low
Project Management,Completed,High,11,Medium,Low
Finalization and Integration,To Do,High,15,Medium,Medium
Human Resource Management (HRM),Completed,High,18,Medium,Low
Human Resource Management (HRM),Completed,Low,16,Medium,Low
Data Services & Management,In Progress,Medium,5,Low,Medium
Workflow Management,To Do,High,19,Medium,Medium
Data Services & Management,Completed,Medium,2,Low,Low
Training Management,In Progress,Medium,1,Low,Medium
Business Continuity Plan (BCP),To Do,High,24,High,Medium
Portal Learning Management System (LMS),To Do,Medium,7,Low,Medium
Certificate of Acceptance (CoA),To Do,High,14,Medium,Low
Data Management and Storage,Completed,High,9,Low,Low
Audit and Compliance,To Do,Low,8,Low,Low
Audit and Compliance,To Do,High,19,Medium,Low
Certificate of Acceptance (CoA),Completed,High,27,High,Low
Data Services & Management,To Do,High,19,Medium,Medium
Portal Learning Management System (LMS),In Progress,Low,2,Low,Low
Project Management,To Do,Medium,11,Medium,Medium
Notification System,In Progress,Medium,5,Low,Low
Transfer of Technology (TOT),In Progress,High,8,Low,Medium
Transfer of Technology (TOT),To Do,Medium,8,Low,Low
Portal Learning Management System (LMS),In Progress,Medium,9,Low,Medium
Communication and Collaboration Tools,In Progress,Medium,11,Medium,Medium
Office Renovation,Completed,High,9,Low,Low
Business Continuity Plan (BCP),To Do,Low,2,Low,Low
Payment Gateway Integration,Completed,High,14,Medium,Medium
Contract Documentation,To Do,Medium,5,Low,Low
Certificate of Acceptance (CoA),Completed,Medium,14,Medium,Low
Finalization and Integration,To Do,Low,20,High,Medium
User Authentication and Access Control,Completed,High,24,High,Medium
Certificate of Acceptance (CoA),To Do,Low,4,Low,Low
Office Renovation,To Do,High,15,Medium,Low
Reporting and Analytics,In Progress,Medium,19,Medium,Medium
Workflow Management,In Progress,Medium,6,Low,Medium
Office Renovation,Completed,High,22,High,Low
Transfer of Knowledge (TOK),In Progress,Low,5,Low,Low
Certificate of Acceptance (CoA),Completed,High,29,High,Low
DevOps,In Progress,Medium,5,Low,Medium
Notification System,In Progress,High,11,Medium,Low
Portal Learning Management System (LMS),In Progress,High,16,Medium,Medium
DevOps,In Progress,Medium,14,Medium,Medium
Customer Relationship Management (CRM),In Progress,Low,16,Medium,High
Payment Gateway Integration,In Progress,Medium,5,Low,Medium
Enterprise Architecture (EA),Completed,Low,27,High,Low
Change Management,To Do,Medium,12,Medium,Low
Office Renovation,In Progress,Low,13,Medium,Low
User Authentication and Access Control,To Do,Medium,17,Medium,Medium
Office Renovation,In Progress,High,9,Low,Low
Inventory Management,Completed,Low,22,High,Low
Communication and Collaboration Tools,Completed,Medium,13,Medium,Low
Certificate of Acceptance (CoA),To Do,Medium,25,High,Medium
Training Management,In Progress,High,1,Low,Medium
User Interface and User Experience (UI/UX),In Progress,High,17,Medium,Medium
Project Closure Report,To Do,High,13,Medium,Low
Certificate of Acceptance (CoA),To Do,Medium,30,High,Medium
Change Management,To Do,High,9,Low,Low
Data Lake & Data Warehouse Operation,To Do,Medium,5,Low,Medium
Portal Learning Management System (LMS),In Progress,Low,21,High,Medium
DevOps,To Do,High,3,Low,Medium
Customer Relationship Management (CRM),To Do,High,16,Medium,Medium
Portal,To Do,Low,29,High,Medium
Transfer of Technology (TOT),In Progress,High,25,High,Medium
User Interface and User Experience (UI/UX),Completed,High,11,Medium,Medium
Office Renovation,To Do,Medium,28,High,Low
Enterprise Architecture (EA),To Do,Medium,1,Low,Low
Workflow Management,Completed,Low,30,High,Low
Project Closure Report,Completed,Low,12,Medium,Low
Enterprise Architecture (EA),To Do,Medium,5,Low,Low
Business Continuity Plan (BCP),To Do,High,18,Medium,Medium
Inventory Management,To Do,High,29,High,High
Inventory Management,To Do,Low,26,High,Medium
Project Management Information System (PMIS),Completed,High,5,Low,Low
Data Services & Management,In Progress,Low,21,High,Medium
Office Renovation,To Do,Low,14,Medium,Low
Business Continuity Plan (BCP),To Do,Low,29,High,Medium
Reporting and Analytics,To Do,Medium,21,High,Medium
Payment Gateway Integration,To Do,Low,30,High,Medium
Enterprise Architecture (EA),Completed,Medium,25,High,Low
Training Management,In Progress,Low,16,Medium,Medium
Contract Documentation,To Do,High,26,High,Low
DevOps,In Progress,High,10,Medium,Medium
Enterprise Architecture (EA),To Do,Low,3,Low,Low
DevOps,To Do,Medium,4,Low,Medium
Certificate of Acceptance (CoA),To Do,High,1,Low,Low
Monitoring & Control Reports,Completed,Medium,16,Medium,Medium
Business Continuity Plan (BCP),In Progress,Low,21,High,Medium
Business Continuity Plan (BCP),To Do,High,2,Low,Low
Project Closure Report,In Progress,Medium,25,High,Low
Reporting and Analytics,In Progress,Low,14,Medium,Medium
User Authentication and Access Control,Completed,Low,1,Low,Low
User Authentication and Access Control,To Do,High,19,Medium,Medium
Audit and Compliance,Completed,Low,9,Low,Low
Finalization and Integration,Completed,Medium,9,Low,Low
Project Closure Report,Completed,High,10,Medium,Low
Communication and Collaboration Tools,In Progress,High,2,Low,Medium
Communication and Collaboration Tools,To Do,Low,8,Low,Medium
Transfer of Technology (TOT),Completed,Medium,30,High,Low
Reporting and Analytics,Completed,Low,9,Low,Low
Notification System,In Progress,Low,19,Medium,Low
Certificate of Acceptance (CoA),Completed,Low,30,High,Low
Training Management,To Do,Low,14,Medium,Low
Training Management,To Do,High,8,Low,Low
Project Management Information System (PMIS),To Do,High,5,Low,Medium
Project Closure Report,Completed,High,23,High,Low
Reporting and Analytics,In Progress,Medium,22,High,Medium
Project Closure Report,In Progress,Medium,11,Medium,Low
Contract Documentation,To Do,Low,28,High,Low
Certificate of Acceptance (CoA),In Progress,Medium,12,Medium,Low
Training Management,In Progress,High,17,Medium,Medium
Contract Documentation,To Do,Low,12,Medium,Low
Monitoring & Control Reports,In Progress,Medium,22,High,Medium
Human Resource Management (HRM),To Do,High,2,Low,Medium
Change Management,To Do,High,23,High,Low
Portal,In Progress,High,17,Medium,Medium
Transfer of Technology (TOT),To Do,Medium,7,Low,Low
Workflow Management,Completed,Low,10,Medium,Low
Customer Relationship Management (CRM),In Progress,High,19,Medium,High
Portal Learning Management System (LMS),Completed,Low,6,Low,Low
Communication and Collaboration Tools,To Do,High,7,Low,Medium
Workflow Management,Completed,Low,3,Low,Low
Contract Documentation,Completed,Medium,11,Medium,Low
Project Closure Report,To Do,Low,7,Low,Low
Notification System,To Do,High,16,Medium,Low
Monitoring & Control Reports,In Progress,High,10,Medium,Medium
Inventory Management,Completed,Low,16,Medium,Low
Monitoring & Control Reports,In Progress,High,5,Low,Medium
Transfer of Knowledge (TOK),Completed,Medium,12,Medium,Low
Management Plans,Completed,Low,23,High,Low
Project Management,To Do,Low,9,Low,Low
User Authentication and Access Control,To Do,Medium,19,Medium,Medium
Notification System,In Progress,Medium,28,High,Low
Data Services & Management,In Progress,Low,24,High,Medium
Customer Relationship Management (CRM),In Progress,High,26,High,High
Data Services & Management,In Progress,High,1,Low,Medium
Business Continuity Plan (BCP),To Do,Medium,17,Medium,Medium
Inventory Management,To Do,High,3,Low,Medium
Monitoring & Control Reports,In Progress,Medium,23,High,Medium
Transfer of Knowledge (TOK),In Progress,Low,9,Low,Low
Transfer of Knowledge (TOK),To Do,Low,25,High,Low
Reporting and Analytics,To Do,High,21,High,Medium
Change Management,In Progress,Medium,19,Medium,Low
Inventory Management,To Do,Low,9,Low,Low
Inventory Management,In Progress,Medium,19,Medium,Medium
Data Lake & Data Warehouse Operation,To Do,High,12,Medium,Medium
Transfer of Technology (TOT),Completed,Low,20,High,Low
Training Management,Completed,High,10,Medium,Low
Monitoring & Control Reports,Completed,Low,21,High,High
Transfer of Technology (TOT),Completed,High,18,Medium,Low
Communication and Collaboration Tools,In Progress,Medium,26,High,High
Business Continuity Plan (BCP),In Progress,Low,30,High,Medium
Management Plans,In Progress,Low,17,Medium,Low
User Authentication and Access Control,In Progress,Low,5,Low,Medium
Audit and Compliance,In Progress,Medium,11,Medium,Medium
Data Management and Storage,Completed,Medium,28,High,Low
Project Management,In Progress,Low,15,Medium,Medium
Human Resource Management (HRM),Completed,Medium,18,Medium,Low
Training Management,To Do,Medium,11,Medium,Low
Communication and Collaboration Tools,In Progress,High,3,Low,Medium
Training Management,To Do,Medium,5,Low,Low
Data Services & Management,Completed,Medium,13,Medium,Low
Payment Gateway Integration,In Progress,High,22,High,High
Data Management and Storage,To Do,Medium,24,High,Medium
Business Continuity Plan (BCP),In Progress,High,30,High,Medium
Payment Gateway Integration,In Progress,Medium,6,Low,Medium
Payment Gateway Integration,In Progress,High,4,Low,Medium
Data Management and Storage,In Progress,High,7,Low,Medium
Project Management Information System (PMIS),In Progress,Low,6,Low,Low
Monitoring & Control Reports,To Do,High,4,Low,Medium
Project Closure Report,In Progress,High,15,Medium,Low
DevOps,To Do,Medium,19,Medium,Medium
Payment Gateway Integration,To Do,High,2,Low,Medium
Certificate of Acceptance (CoA),Completed,High,1,Low,Low
Monitoring & Control Reports,In Progress,Low,22,High,Medium
DevOps,Completed,High,1,Low,Low
Management Plans,In Progress,Medium,30,High,Low
Notification System,Completed,Low,18,Medium,Low
Transfer of Knowledge (TOK),Completed,Low,14,Medium,Low
Transfer of Knowledge (TOK),To Do,Low,11,Medium,Low
Workflow Management,To Do,High,23,High,High
Portal Learning Management System (LMS),Completed,Medium,12,Medium,Low
Human Resource Management (HRM),To Do,Medium,12,Medium,Medium
Audit and Compliance,In Progress,Low,28,High,Medium
Certificate of Acceptance (CoA),Completed,Low,6,Low,Low
Data Services & Management,In Progress,High,29,High,High
Office Renovation,In Progress,High,24,High,Medium
Enterprise Architecture (EA),Completed,High,6,Low,Low
Business Continuity Plan (BCP),To Do,High,12,Medium,Medium
Finalization and Integration,In Progress,High,3,Low,Medium
Finalization and Integration,In Progress,High,15,Medium,High
Data Management and Storage,In Progress,Low,3,Low,Low
Project Management,In Progress,Low,4,Low,Low
Portal,Completed,Medium,13,Medium,Low
User Interface and User Experience (UI/UX),In Progress,Low,7,Low,Low
Certificate of Acceptance (CoA),Completed,Low,29,High,Low
Notification System,Completed,High,6,Low,Low
Audit and Compliance,Completed,Medium,3,Low,Low
Contract Documentation,To Do,Low,15,Medium,Low
Data Services & Management,In Progress,Medium,22,High,High
Human Resource Management (HRM),Completed,High,16,Medium,Low
Transfer of Technology (TOT),To Do,High,28,High,Medium
Portal Learning Management System (LMS),To Do,High,16,Medium,Medium
Data Services & Management,Completed,Low,5,Low,Low
Change Management,In Progress,Medium,4,Low,Low
Notification System,Completed,High,12,Medium,Low
Customer Relationship Management (CRM),Completed,Medium,19,Medium,Low
Reporting and Analytics,Completed,Medium,11,Medium,Low
Customer Relationship Management (CRM),Completed,Low,13,Medium,Low
Management Plans,To Do,Low,11,Medium,Low
Business Continuity Plan (BCP),Completed,Low,13,Medium,Low
Reporting and Analytics,In Progress,Medium,16,Medium,Medium
Project Closure Report,In Progress,Low,15,Medium,Low
Finalization and Integration,In Progress,Low,9,Low,Medium
User Interface and User Experience (UI/UX),To Do,Medium,13,Medium,Medium
Data Lake & Data Warehouse Operation,To Do,Medium,13,Medium,Medium
Office Renovation,To Do,High,30,High,Low
DevOps,In Progress,High,16,Medium,Medium
Contract Documentation,Completed,Medium,14,Medium,Low
Office Renovation,To Do,Medium,16,Medium,Low
User Authentication and Access Control,To Do,Low,13,Medium,Medium
Project Management,Completed,High,2,Low,Low
Portal Learning Management System (LMS),Completed,High,18,Medium,Low
Human Resource Management (HRM),To Do,Low,24,High,Medium
Management Plans,To Do,High,24,High,Medium
Office Renovation,Completed,Medium,25,High,Low
Data Services & Management,In Progress,Low,6,Low,Medium
Project Management Information System (PMIS),Completed,High,2,Low,Low
Monitoring & Control Reports,Completed,Medium,7,Low,High
Training Management,To Do,Medium,23,High,Low
Portal,In Progress,Medium,3,Low,Medium
Notification System,To Do,High,7,Low,Low
Data Services & Management,In Progress,Low,21,High,Medium
Project Closure Report,Completed,Low,6,Low,Low
Data Management and Storage,To Do,Low,4,Low,Low
Finalization and Integration,In Progress,Medium,12,Medium,Medium
User Authentication and Access Control,In Progress,Medium,20,High,Medium
Project Management,Completed,Medium,14,Medium,Low
Data Lake & Data Warehouse Operation,In Progress,High,5,Low,Medium
Business Continuity Plan (BCP),In Progress,High,20,High,Medium
Workflow Management,To Do,High,25,High,High
DevOps,To Do,Low,18,Medium,Medium
Training Management,In Progress,Low,5,Low,Low
Project Closure Report,Completed,Low,12,Medium,Low
User Interface and User Experience (UI/UX),In Progress,Medium,4,Low,Medium
Change Management,To Do,Medium,2,Low,Low
Reporting and Analytics,To Do,Low,20,High,Medium
Management Plans,In Progress,Low,4,Low,Low
Contract Documentation,To Do,Medium,17,Medium,Low
Change Management,In Progress,Low,30,High,Medium
Payment Gateway Integration,To Do,High,26,High,High
Change Management,In Progress,Low,20,High,Medium
Human Resource Management (HRM),Completed,Medium,22,High,Low
Audit and Compliance,Completed,Low,2,Low,Low
Training Management,To Do,High,19,Medium,Low
Project Closure Report,Completed,Low,11,Medium,Low
Contract Documentation,Completed,Low,5,Low,Low
DevOps,Completed,Low,3,Low,Low
Business Continuity Plan (BCP),In Progress,Low,1,Low,Low
Transfer of Knowledge (TOK),In Progress,High,25,High,Medium
Portal Learning Management System (LMS),To Do,Low,23,High,Medium
Office Renovation,To Do,High,21,High,Low
Finalization and Integration,Completed,Low,23,High,Low
Inventory Management,In Progress,High,6,Low,Medium
Portal,Completed,High,4,Low,Low
Inventory Management,To Do,Low,23,High,Medium
Workflow Management,In Progress,High,2,Low,Medium
Portal,To Do,Medium,11,Medium,Medium
Notification System,Completed,High,6,Low,Low
Payment Gateway Integration,To Do,Low,28,High,Medium
Office Renovation,Completed,Medium,17,Medium,Low
Communication and Collaboration Tools,Completed,Low,29,High,Medium
Business Continuity Plan (BCP),Completed,Medium,5,Low,Low
Enterprise Architecture (EA),In Progress,High,23,High,Medium
Data Management and Storage,Completed,High,22,High,Medium
Project Closure Report,To Do,Low,30,High,Low
Customer Relationship Management (CRM),To Do,Low,18,Medium,Medium
Data Services & Management,To Do,Low,2,Low,Medium
Portal Learning Management System (LMS),To Do,Medium,10,Medium,Medium
Transfer of Technology (TOT),Completed,High,3,Low,Low
Monitoring & Control Reports,In Progress,Low,26,High,Medium
Contract Documentation,In Progress,High,28,High,Medium
User Interface and User Experience (UI/UX),In Progress,Low,3,Low,Medium
Audit and Compliance,Completed,High,11,Medium,Low
Notification System,Completed,Medium,8,Low,Low
Data Lake & Data Warehouse Operation,To Do,Medium,28,High,Medium
Portal,In Progress,High,6,Low,Medium
Finalization and Integration,To Do,High,28,High,Medium
Data Lake & Data Warehouse Operation,To Do,Low,20,High,Medium
Finalization and Integration,To Do,Low,12,Medium,Medium
Data Services & Management,In Progress,Medium,25,High,High
Management Plans,In Progress,Medium,22,High,Low
Finalization and Integration,In Progress,Medium,28,High,High
Data Services & Management,Completed,High,12,Medium,Low
Monitoring & Control Reports,Completed,High,23,High,Low
Audit and Compliance,To Do,Medium,29,High,Low
User Authentication and Access Control,Completed,High,11,Medium,Medium
Office Renovation,To Do,High,22,High,Low
User Interface and User Experience (UI/UX),Completed,Low,7,Low,Low
User Authentication and Access Control,In Progress,Medium,11,Medium,Medium
Enterprise Architecture (EA),To Do,High,12,Medium,Low
Enterprise Architecture (EA),Completed,High,7,Low,Low
Workflow Management,To Do,High,5,Low,Medium
Communication and Collaboration Tools,Completed,Low,19,Medium,Low
Business Continuity Plan (BCP),Completed,Low,29,High,Low
Business Continuity Plan (BCP),Completed,Medium,13,Medium,Low
Office Renovation,Completed,High,19,Medium,Low
Transfer of Knowledge (TOK),To Do,High,12,Medium,Low
Communication and Collaboration Tools,To Do,High,5,Low,Medium
Portal Learning Management System (LMS),To Do,Medium,24,High,Medium
Notification System,To Do,High,11,Medium,Low
Workflow Management,To Do,Medium,27,High,Medium
User Authentication and Access Control,Completed,Medium,8,Low,Medium
Portal Learning Management System (LMS),Completed,Low,1,Low,Low
Notification System,Completed,Low,15,Medium,Low
Portal,To Do,High,24,High,High
Office Renovation,To Do,High,9,Low,Low
Project Management,To Do,High,2,Low,Medium
Finalization and Integration,To Do,High,12,Medium,Medium
Change Management,In Progress,Low,10,Medium,Low
Inventory Management,Completed,Low,16,Medium,Low
Enterprise Architecture (EA),Completed,Medium,26,High,Low
Transfer of Knowledge (TOK),To Do,Medium,1,Low,Low
Customer Relationship Management (CRM),In Progress,Low,4,Low,Medium
Business Continuity Plan (BCP),Completed,High,29,High,Low
Contract Documentation,Completed,Low,30,High,Low
Data Lake & Data Warehouse Operation,Completed,High,26,High,Medium
Portal,In Progress,Medium,11,Medium,Medium
Monitoring & Control Reports,Completed,Medium,8,Low,Medium
Payment Gateway Integration,In Progress,Medium,7,Low,Medium
Training Management,Completed,High,7,Low,Low
Portal,To Do,High,27,High,High
User Interface and User Experience (UI/UX),In Progress,Medium,21,High,Medium
Project Closure Report,Completed,Medium,25,High,Low
Audit and Compliance,Completed,Low,14,Medium,Low
Notification System,To Do,Low,6,Low,Low
Inventory Management,Completed,High,11,Medium,Low
Notification System,Completed,Medium,9,Low,Low
Notification System,Completed,Low,3,Low,Low
Data Lake & Data Warehouse Operation,In Progress,Medium,21,High,Medium
Portal,In Progress,High,21,High,High
Portal Learning Management System (LMS),To Do,Low,12,Medium,Medium
Enterprise Architecture (EA),To Do,Low,7,Low,Low
Project Management,To Do,Low,18,Medium,Medium
Enterprise Architecture (EA),To Do,High,14,Medium,Low
Data Services & Management,In Progress,High,21,High,High
User Interface and User Experience (UI/UX),To Do,Low,22,High,Medium
Data Services & Management,Completed,High,6,Low,Low
Monitoring & Control Reports,In Progress,Low,15,Medium,Medium
Monitoring & Control Reports,Completed,High,5,Low,High
User Interface and User Experience (UI/UX),Completed,High,5,Low,Medium
Enterprise Architecture (EA),In Progress,Medium,27,High,Low
Data Services & Management,Completed,Low,17,Medium,Low
Project Management,Completed,Low,5,Low,Low
Management Plans,In Progress,Low,15,Medium,Low
Business Continuity Plan (BCP),Completed,Medium,13,Medium,Low
Communication and Collaboration Tools,In Progress,Medium,1,Low,Medium
Communication and Collaboration Tools,In Progress,High,7,Low,Medium
Change Management,Completed,Low,5,Low,Low
Human Resource Management (HRM),In Progress,Medium,25,High,Medium
Human Resource Management (HRM),Completed,Low,14,Medium,Low
Data Lake & Data Warehouse Operation,In Progress,High,29,High,High
Communication and Collaboration Tools,Completed,Low,11,Medium,Low
Workflow Management,Completed,Medium,30,High,Low
Business Continuity Plan (BCP),In Progress,Low,8,Low,Low
Certificate of Acceptance (CoA),Completed,High,25,High,Low
Project Management,To Do,Low,21,High,Medium
Audit and Compliance,To Do,Medium,5,Low,Low
Customer Relationship Management (CRM),Completed,Low,18,Medium,Low
Audit and Compliance,Completed,High,11,Medium,Low
Project Closure Report,To Do,Low,7,Low,Low
User Authentication and Access Control,To Do,High,8,Low,Medium
User Interface and User Experience (UI/UX),To Do,Low,5,Low,Medium
Business Continuity Plan (BCP),To Do,Low,6,Low,Low
Transfer of Technology (TOT),To Do,High,28,High,Medium
DevOps,To Do,High,13,Medium,Medium
DevOps,In Progress,Low,16,Medium,Medium
Communication and Collaboration Tools,In Progress,Medium,13,Medium,Medium
Training Management,In Progress,Low,4,Low,Low
Audit and Compliance,To Do,Low,4,Low,Low
Finalization and Integration,Completed,Medium,13,Medium,Low
Contract Documentation,To Do,Medium,15,Medium,Low
Change Management,Completed,High,23,High,Low
Monitoring & Control Reports,To Do,Medium,11,Medium,Medium
Project Closure Report,Completed,High,2,Low,Low
Management Plans,Completed,Medium,14,Medium,Low
Office Renovation,Completed,High,4,Low,Low
Certificate of Acceptance (CoA),To Do,Medium,26,High,Medium
Project Management,Completed,Low,19,Medium,Low
Reporting and Analytics,In Progress,Low,27,High,Medium
Training Management,To Do,Low,17,Medium,Low
Monitoring & Control Reports,To Do,Medium,24,High,Medium
User Interface and User Experience (UI/UX),In Progress,Medium,7,Low,Medium
Transfer of Technology (TOT),In Progress,Low,16,Medium,Medium
Portal,Completed,Low,20,High,Low
DevOps,In Progress,High,24,High,High
Certificate of Acceptance (CoA),To Do,High,28,High,Medium
User Authentication and Access Control,Completed,High,7,Low,Medium
Payment Gateway Integration,To Do,High,14,Medium,Medium
Project Management,To Do,Low,20,High,Medium
Monitoring & Control Reports,Completed,Low,5,Low,High
Human Resource Management (HRM),Completed,Medium,2,Low,Low
User Interface and User Experience (UI/UX),In Progress,Low,5,Low,Medium
Training Management,To Do,Low,27,High,Low
Monitoring & Control Reports,Completed,Low,7,Low,Low
Reporting and Analytics,Completed,Medium,4,Low,Low
Business Continuity Plan (BCP),Completed,High,12,Medium,Low
Training Management,In Progress,High,14,Medium,Medium
Data Services & Management,Completed,High,6,Low,Low
Portal,Completed,High,12,Medium,Low
Portal Learning Management System (LMS),In Progress,Medium,7,Low,Medium
Management Plans,To Do,Low,4,Low,Low
Business Continuity Plan (BCP),To Do,Medium,27,High,Medium
User Interface and User Experience (UI/UX),In Progress,Low,12,Medium,Medium
Data Lake & Data Warehouse Operation,To Do,Low,27,High,Medium
Certificate of Acceptance (CoA),To Do,Medium,24,High,Medium
Transfer of Technology (TOT),In Progress,Medium,24,High,Medium
Portal Learning Management System (LMS),Completed,High,21,High,Medium
Training Management,To Do,Low,7,Low,Low
Enterprise Architecture (EA),In Progress,Medium,16,Medium,Low
Portal Learning Management System (LMS),In Progress,Medium,4,Low,Medium
Portal,In Progress,High,6,Low,Medium
Training Management,Completed,Low,18,Medium,Low
Portal,To Do,High,29,High,High
Payment Gateway Integration,To Do,High,10,Medium,Medium
Contract Documentation,To Do,High,7,Low,Low
Audit and Compliance,To Do,High,14,Medium,Low
Notification System,Completed,High,13,Medium,Low
Project Management,To Do,Medium,29,High,Medium
Portal,In Progress,Medium,19,Medium,Medium
Project Management Information System (PMIS),In Progress,Low,4,Low,Low
User Authentication and Access Control,To Do,Medium,3,Low,Medium
Project Management,To Do,Medium,23,High,Medium
Audit and Compliance,Completed,Low,6,Low,Low
Certificate of Acceptance (CoA),Completed,Low,17,Medium,Low
User Authentication and Access Control,In Progress,Low,14,Medium,Medium
Data Lake & Data Warehouse Operation,To Do,High,26,High,High
Business Continuity Plan (BCP),To Do,High,19,Medium,Medium
User Authentication and Access Control,To Do,Medium,18,Medium,Medium
Data Management and Storage,In Progress,Low,20,High,Medium
Data Management and Storage,To Do,Medium,19,Medium,Medium
Office Renovation,To Do,High,1,Low,Low
Audit and Compliance,To Do,Low,2,Low,Low
Data Management and Storage,In Progress,Medium,10,Medium,Medium
Training Management,Completed,Low,9,Low,Low
Project Closure Report,To Do,Low,19,Medium,Low
Certificate of Acceptance (CoA),To Do,Medium,8,Low,Low
Contract Documentation,Completed,High,8,Low,Low
Payment Gateway Integration,Completed,Low,1,Low,Medium
Training Management,In Progress,High,24,High,Medium
Portal,Completed,Medium,24,High,Low
Monitoring & Control Reports,In Progress,Medium,22,High,Medium
Inventory Management,Completed,High,1,Low,Low
Data Management and Storage,In Progress,High,11,Medium,Medium
Change Management,Completed,High,20,High,Low
Notification System,To Do,Medium,25,High,Low
Enterprise Architecture (EA),In Progress,Low,21,High,Low
Project Management,In Progress,Low,1,Low,Low
User Authentication and Access Control,Completed,Medium,9,Low,Medium
